iter	Logloss
0	0.6777266952
1	0.6630598884
2	0.6470770819
3	0.6327120307
4	0.617549052
5	0.6041949503
6	0.5899351548
7	0.5773863811
8	0.56538159
9	0.5532587645
10	0.5407875538
11	0.5297362638
12	0.5195726808
13	0.5085007974
14	0.498166675
15	0.4873833395
16	0.4783359434
17	0.4702627138
18	0.4615125106
19	0.4538100583
20	0.4455169864
21	0.436849142
22	0.428311421
23	0.421078927
24	0.4129868159
25	0.4064636711
26	0.3996192478
27	0.3933681322
28	0.3873436957
29	0.3812462977
30	0.3756111114
31	0.3697012429
32	0.3640561195
33	0.3588789077
34	0.3538366854
35	0.3482756661
36	0.3434098511
37	0.3387830816
38	0.3343522147
39	0.3298559995
40	0.3248044483
41	0.3204359255
42	0.3165265751
43	0.3124468618
44	0.3088788537
45	0.3054172504
46	0.3019156416
47	0.2980988543
48	0.2944362865
49	0.2909946646
50	0.2873584278
51	0.2836832513
52	0.2803646029
53	0.2773854951
54	0.274598794
55	0.2718529727
56	0.2692274626
57	0.266619465
58	0.2640123696
59	0.261521275
60	0.259245019
61	0.2569771629
62	0.254402762
63	0.2521877251
64	0.2499461556
65	0.2477278187
66	0.2454926968
67	0.2435639977
68	0.2413346477
69	0.2394426993
70	0.2374924935
71	0.235746886
72	0.2340360038
73	0.2321947051
74	0.2305047556
75	0.2288395722
76	0.2272298897
77	0.2254867235
78	0.2238442401
79	0.2223986393
80	0.2209992575
81	0.2195574716
82	0.2182270146
83	0.2166958991
84	0.2152110194
85	0.2140650665
86	0.2128799576
87	0.2115986002
88	0.2101446743
89	0.209083223
90	0.2078201554
91	0.2065771903
92	0.2054400884
93	0.2044800955
94	0.2033540769
95	0.202141573
96	0.2008022207
97	0.199827446
98	0.1988424272
99	0.1979032782
100	0.1969431642
101	0.1961413396
102	0.1954631337
103	0.1945223476
104	0.1938330806
105	0.1931395235
106	0.1922023045
107	0.1912722949
108	0.1905041114
109	0.1896448226
110	0.1888644095
111	0.1882226345
112	0.1874518138
113	0.1867630819
114	0.1860077067
115	0.1852105373
116	0.184594756
117	0.1838984035
118	0.1832055309
119	0.182579976
120	0.1819970037
121	0.1814834078
122	0.1808681233
123	0.1803180715
124	0.1797905876
125	0.1792531717
126	0.1788074459
127	0.1782767793
128	0.1776822999
