iter	Passed	Remaining
0	52	525235
1	93	468174
2	139	465436
3	184	461091
4	228	457744
5	272	454533
6	319	456353
7	363	454043
8	410	455151
9	457	457126
10	515	468065
11	569	473720
12	618	474848
13	667	476281
14	713	474629
15	759	474168
16	808	474788
17	851	471971
18	898	471954
19	941	469725
20	990	470720
21	1040	471850
22	1092	474008
23	1150	478024
24	1211	483494
25	1262	484458
26	1323	488863
27	1372	488667
28	1418	487785
29	1470	488837
30	1519	488548
31	1564	487340
32	1614	487714
33	1657	485963
34	1702	484659
35	1750	484411
36	1796	483745
37	1845	483869
38	1890	482739
39	1941	483410
40	1988	482932
41	2039	483468
42	2084	482570
43	2134	483086
44	2179	482074
45	2223	481160
46	2270	480805
47	2322	481483
48	2367	480843
49	2416	480910
50	2468	481502
51	2516	481365
52	2563	481041
53	2609	480584
54	2660	481055
55	2708	480885
56	2753	480285
57	2798	479666
58	2843	479074
59	2889	478739
60	2934	478140
61	2981	477920
62	3033	478495
63	3086	479138
64	3132	478858
65	3181	478827
66	3227	478546
67	3272	477915
68	3327	478939
69	3374	478656
70	3423	478802
71	3472	478789
72	3518	478521
73	3564	478184
74	3612	478088
75	3660	478015
76	3707	477726
77	3759	478233
78	3810	478588
79	3856	478161
80	3906	478389
81	3954	478298
82	4002	478190
83	4051	478289
84	4101	478476
85	4147	478153
86	4193	477851
87	4243	477922
88	4293	478176
89	4347	478664
90	4395	478635
91	4441	478362
92	4497	479054
93	4548	479346
94	4602	479917
95	4654	480199
96	4704	480266
97	4757	480701
98	4807	480825
99	4859	481079
100	4908	481079
101	4956	480983
102	5006	481053
103	5060	481535
104	5112	481802
105	5164	482029
106	5212	481944
107	5265	482271
108	5315	482371
109	5367	482551
110	5423	483161
111	5481	483961
112	5541	484827
113	5596	485320
114	5644	485179
115	5700	485741
116	5751	485850
117	5806	486232
118	5859	486507
119	5911	486731
120	5963	486918
121	6025	487828
122	6083	488526
123	6133	488520
124	6181	488361
125	6229	488160
126	6280	488211
127	6328	488066
128	6380	488244
129	6440	488976
130	6488	488832
131	6535	488576
132	6588	488767
